es_id,es_district,es_circuit,es_parish,es_congregation
137,x,Imbongu ,Kombe ,Bimbim
139,x,Kate-Jabem Memorial,Tabare,Yobaikua
140,x,Nomane ,Maine ,Yowai 
72,x,Bilau,Kama,Mowererong
76,x,Bumsol,x,Yakon
90,x,Finintugu,Naira,St. Paul
106,x,Bumsol,Wanku,Mukumb
34,x,Wampar,sampi,Ngasuapum
2,x,Qembung,Guramuti,Musawe
84,x,Wabi,Lamomi,Apopa
119,x,Wabi,Puare ,Limba 
44,x,Town,town,ataru
14,x,Tagub,x,makudui
20,x,Tagub,x,kubasob
23,x,Tagub,x,kabong
24,x,Tagub,x,kabong
16,x,Mu,suyobo,yobakogi
18,x,Mu,suyobo,du kere
26,x,Lihona,st. Luzape,akeyampo
32,x,Lihona,Yagafonave,Konange
33,x,Lae City,Redeemer ,x
93,x,Asaroka,GAHUKU,JOPAWOTEGA
56,x,Bagabag,x,Tibudhun
67,x,Bagabag,x,Tubudhun
65,x,Begesin,Garia,Mopo
79,x,Begesin,x,Garia
92,x,Finintugu,Kafetina,Vitebe
125,x,Kalvary,x,Faith 
59,x,Kewade Kamane,x,KUGLO
132,x,Kewade Kamane,x,Pari
115,x,Mendi,pirop,ila
141,x,Tarabo,Keayagana,Hagu
142,x,Tiripini,Kaluwe,Kaluwe
143,x,Timbe ,Desiam ,Sombongan
144,x,Rongo,Kipa,Havevi
145,x,Nomane  ,Kewomenba ,Digamni 
146,x,Mendi,Pundia,Yara
147,x,Tiripini,Wala,Wembu
148,x,Mendi,Okaya,Aguti
149,x,Tiria,Hetwara,Elgam
150,x,Kagai,Mai,Kurumbayu
151,x,Popondetta,x,St. Samuel Congregation
152,x,Dawoo,Boda,Tabrato
153,x,x,x,St. Samuel Cong.
154,x,Duma Gomeo ,Gomea ,Mumuyo
156,x,Alkena ,Kiripia ,Wenda
157,x,Fayantina,Ishmael ,Manase
158,x,Fayantina,Ishmael,Manaseh
159,x,Mendi ,Karel,Semera
160,x,Kalvary,Rugli,Kanbati
161,x,Mu ,Tabare ,Temikelma 
162,x,Ogelbeng,Ogelbeng,Station
163,x,Tiria,Nebilyer ,Koltom 
164,x,Ega,x,Bethel
165,x,Tripini,Wala,Wala
166,x,Tiripini,Mamuane,Timbari
168,x,Kowai Zone,Samanai,Gasam
169,x,Qembung,Babuso,Yombong
179,x,x,x,x
183,Kote,x,x,x
184,Immanuel,Mendi,Komia P,Kirigla 
185,Kainantu,Lihona,Yagafonave,Hoba
186,Kainantu,Hihona,Yagafoneve,Bazanofi
189,x,x,x,x
191,Yabim,x,x,x
192,Yabim,Menyamya,Sikong,Luis
194,Yabim,Menyamya,Kwaplalim,Namba Wan Bridge
195,Kainantu,Lihona,Yagafonave,Banka
196,Kainantu,Lihona,Yagafonave,Konange
197,Kainantu,Raipinka,Imune,Inonka
198,Immanuel,Tiripuni,Kalavari,Koyabu
199,Kote,Garaina,Gaore,Girex
200,Kainantu,Finintuga,Kamanotina,ST Bamra
201,Kote,Sattelberg,Bomaza,Mawaneng
206,Immanuel,Immanuel,Kalavari,Yaro
207,Kainantu,Ponampa,Division one,Amaira
